time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
4.799999999999929e-06,96,3.000000000000000e+02,3.322027673515936e+02,3.000593109446377e+02,8.787528447095416e-06,1.209836261469853e+09,8.060834204242372e-02,1.801820181305109e+14,5
4.849999999999954e-06,97,3.000000000000000e+02,3.324339283058265e+02,3.000618694527761e+02,8.883496933398513e-06,1.211786567987862e+09,8.117591949513243e-02,1.805210638196306e+14,5
4.899999999999979e-06,98,3.000000000000000e+02,3.326744682437900e+02,3.000645400020844e+02,8.980530892776208e-06,1.213567365104550e+09,8.176257058098496e-02,1.809316031219992e+14,6
4.950000000000004e-06,99,3.000000000000000e+02,3.329124949496673e+02,3.000670114793757e+02,9.075055375072222e-06,1.210817330300291e+09,8.234803479867797e-02,1.795024581218582e+14,6
5.000000000000029e-06,100,3.000000000000000e+02,3.331018842657845e+02,3.000690811992844e+02,9.165671487236990e-06,1.204976147104401e+09,8.282905831450502e-02,1.781856505714224e+14,6
5.050000000000054e-06,101,3.000000000000000e+02,3.332585213998907e+02,3.000709301319220e+02,9.253040924208410e-06,1.201182609316570e+09,8.323792891567419e-02,1.772327822993278e+14,6
5.100000000000079e-06,102,3.000000000000000e+02,3.333969791887699e+02,3.000726527532103e+02,9.338265621925662e-06,1.199032184731099e+09,8.360634382273371e-02,1.766269714557592e+14,6
5.150000000000104e-06,103,3.000000000000000e+02,3.335259855355793e+02,3.000743195384312e+02,9.424190519258716e-06,1.198303412763344e+09,8.395323049784389e-02,1.763042631451801e+14,6
5.200000000000129e-06,104,3.000000000000000e+02,3.336511569419718e+02,3.000759799831071e+02,9.510012810676433e-06,1.198343314021209e+09,8.429193832789038e-02,1.759989049821191e+14,6
5.250000000000154e-06,105,3.000000000000000e+02,3.337767270658373e+02,3.000776973761155e+02,9.596724855071939e-06,1.198755302230349e+09,8.463063284621193e-02,1.759958289199139e+14,6
5.300000000000179e-06,106,3.000000000000000e+02,3.339029012354121e+02,3.000795667291464e+02,9.685575316769706e-06,1.199351338444523e+09,8.496733400095244e-02,1.761043816299507e+14,6
5.350000000000204e-06,107,3.000000000000000e+02,3.340393522847980e+02,3.000817290174495e+02,9.775962386888408e-06,1.203302197636742e+09,8.532498608846227e-02,1.765208026884510e+14,6
5.400000000000229e-06,108,3.000000000000000e+02,3.341980541939823e+02,3.000842825746159e+02,9.867928943354264e-06,1.207983660254464e+09,8.573209360590724e-02,1.769415869970256e+14,6
5.450000000000254e-06,109,3.000000000000000e+02,3.343814022363999e+02,3.000872204028273e+02,9.962051068776920e-06,1.212414877451436e+09,8.619323216890520e-02,1.771360721582619e+14,6
5.500000000000279e-06,110,3.000000000000000e+02,3.345877821318959e+02,3.000904893715045e+02,1.005855403638785e-05,1.215542494784142e+09,8.670392790521099e-02,1.771300840737323e+14,6
5.550000000000303e-06,111,3.000000000000000e+02,3.348110342150723e+02,3.000939727979249e+02,1.015616433652843e-05,1.218133938845483e+09,8.724957683604147e-02,1.774324614734795e+14,6
5.600000000000328e-06,112,3.000000000000000e+02,3.350478015155293e+02,3.000974974185594e+02,1.025492036315442e-05,1.220215016083680e+09,8.782306836304825e-02,1.767204198093221e+14,7
5.650000000000353e-06,113,3.000000000000000e+02,3.352757632068197e+02,3.001004897299330e+02,1.034883958147056e-05,1.217517375049260e+09,8.838597520703077e-02,1.750808456712111e+14,7
5.700000000000378e-06,114,3.000000000000000e+02,3.354762493122038e+02,3.001030807943140e+02,1.044122274804564e-05,1.215076740571245e+09,8.889138618726343e-02,1.739414093264700e+14,7
5.750000000000403e-06,115,3.000000000000000e+02,3.356549790775134e+02,3.001054300926481e+02,1.053245295768390e-05,1.211926592026119e+09,8.934897774361054e-02,1.733638056275839e+14,7
