time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
1524,739.575,26.9878,1957.13,3.66485e-05
1530,739.369,26.9881,1955.57,3.66567e-05
1536,739.162,26.9884,1953.99,3.6665e-05
1542,738.955,26.9887,1952.41,3.66733e-05
1548,738.748,26.9891,1950.82,3.66816e-05
1554,738.54,26.9894,1949.23,3.669e-05
1560,738.331,26.9897,1947.63,3.66983e-05
1566,738.122,26.9901,1946.02,3.67067e-05
1572,737.912,26.9904,1944.41,3.67152e-05
1578,737.702,26.9907,1942.79,3.67236e-05
1584,737.491,26.9911,1941.16,3.67321e-05
1590,737.28,26.9914,1939.53,3.67406e-05
1596,737.068,26.9917,1937.89,3.67491e-05
1602,736.856,26.9921,1936.24,3.67577e-05
1608,736.642,26.9924,1934.59,3.67663e-05
1614,736.429,26.9928,1932.93,3.67749e-05
1620,736.215,26.9931,1931.26,3.67835e-05
1626,736,26.9935,1929.59,3.67922e-05
1632,735.784,26.9939,1927.91,3.68009e-05
1638,735.568,26.9942,1926.22,3.68097e-05
1644,735.352,26.9946,1924.53,3.68184e-05
1650,735.135,26.995,1922.83,3.68272e-05
1656,734.917,26.9953,1921.12,3.6836e-05
1662,734.699,26.9957,1919.4,3.68449e-05
1668,734.48,26.9961,1917.68,3.68538e-05
1674,734.26,26.9964,1915.95,3.68627e-05
1680,734.04,26.9968,1914.21,3.68716e-05
1686,733.819,26.9972,1912.47,3.68806e-05
1692,733.598,26.9976,1910.72,3.68896e-05
1698,733.376,26.998,1908.96,3.68986e-05
1704,733.153,26.9984,1907.19,3.69077e-05
1710,732.93,26.9988,1905.42,3.69168e-05
1716,732.706,26.9992,1903.64,3.69259e-05
1722,732.481,26.9996,1901.85,3.69351e-05
1728,732.256,27,1900.06,3.69443e-05
1734,732.03,27.0004,1898.26,3.69535e-05
1740,731.804,27.0008,1896.45,3.69627e-05
1746,731.577,27.0012,1894.63,3.6972e-05
1752,731.349,27.0016,1892.8,3.69813e-05
1758,731.12,27.002,1890.97,3.69907e-05
1764,730.891,27.0024,1889.13,3.70001e-05
1770,730.662,27.0029,1887.28,3.70095e-05
1776,730.431,27.0033,1885.43,3.70189e-05
1782,730.2,27.0037,1883.57,3.70284e-05
1788,729.968,27.0042,1881.7,3.70379e-05
1794,729.736,27.0046,1879.82,3.70475e-05
1800,729.503,27.005,1877.93,3.70571e-05
1806,729.269,27.0055,1876.04,3.70667e-05
